artist,comment,level,lr2_bmsid,md5,name_diff,title,url,url_diff,player,clear_player,theoretical_score,top_score,average_score,std_dev_score,optimized_p,bpi_scores
MILK / air,,22,72590,3594edfdcfa5202a6bb15c85fa371640,http://skydrive.live.com/?cid=FD93B4F2CB8CD95F&id=FD93B4F2CB8CD95F%21105,kyrka [MEISTER],http://diverse.jp/dbhtml/index.html,http://skydrive.live.com/?cid=FD93B4F2CB8CD95F&id=FD93B4F2CB8CD95F%21105,3065,833,3012,3008,2668.0984,120.1762,0.5,"[3003.13, 2992.37, 2978.04, 2961.36, 2943.82, 2926.93, 2912.13, 2900.62, 2893.32]"
zest:rave // obj:J.M,,19,181794,359971d044a0ef29c23761c164639474,http://1drv.ms/1cpUBX1,H.S : Hadron Strike,http://manbow.nothing.sh/event/event.cgi?action=More_def&num=26&event=85,http://1drv.ms/1cpUBX1,2951,980,5588,5490,4994.3122,170.7803,0.5,"[5511.67, 5498.08, 5484.89, 5472.52, 5461.36, 5451.73, 5443.94, 5438.2, 5434.69]"
keyc,原曲：U.N.オーエンは彼女なのか？(東方紅魔郷),6,1018,35f74b0f698843207ecb34c2f38f0656,,G.N. [N],http://www001.upp.so-net.ne.jp/keyc/,,11280,1000,4000,3863,3555.565,97.0614,0.5,"[3914.21, 3904.84, 3896.05, 3888.03, 3880.95, 3874.95, 3870.15, 3866.65, 3864.53]"
nez (obj.mp),,4,7942,360060b4a045e6cb3e002bc779d8a221,http://ibizatrance.nomaki.jp/sabun.html,That's the style!! (7key:Maniac),http://web.archive.org/web/20091126050853/http://snowdrop-white.hp.infoseek.co.jp/music/tts.rar,http://ibizatrance.nomaki.jp/sabun.html,10095,998,3474,3468,3326.2074,56.0947,0.5,"[3463.19, 3455.16, 3445.58, 3435.18, 3424.72, 3414.95, 3406.58, 3400.15, 3396.12]"
天音 /A-zert,原曲：明治十七年の上海アリス(東方紅魔郷),7,1698,36117c301ea545fac1e6bfda998ef1dc,http://www.geocities.jp/azerty1s/,Beyond The Alice (Phantasm7),http://web.archive.org/web/20070215000000,http://www.geocities.jp/azerty1s/,9107,1000,4648,4626,4277.413,126.343,0.5,"[4614.79, 4601.45, 4587.21, 4572.88, 4559.21, 4546.94, 4536.68, 4528.97, 4524.19]"
cranky / obj: black train,,13,1787,365ed4ea99075381e02d17a30ce515a0,,Party 4U (EXTREME),http://skydrive.live.com/?cid=FD93B4F2CB8CD95F&id=FD93B4F2CB8CD95F%21105,,6445,999,4120,4097,3728.0891,139.7374,0.5,"[4085.62, 4071.94, 4057.36, 4042.7, 4028.73, 4016.19, 4005.72, 3997.85, 3992.97]"
sound piercer / mov : kkkfff2/obj_jakko,obj_jakko 差分一覧 http://joka193.blog.fc2.com/blog-category-0.html※ 初盤の停止注意,1,152511,36611f2dbd11d859463efb6b4df59823,http://www.dropbox.com/s/sunfbg5g4ke9frd/ten_sen_men_rittai_sabun.lzh,点、線、面、立体 [SP ANOTHER+],http://k-bms.com/party_pabat/party.jsp?board_num=1&num=49,http://www.dropbox.com/s/sunfbg5g4ke9frd/ten_sen_men_rittai_sabun.lzh,13807,1000,3788,3788,3697.522,44.2231,0.5,"[3787.96, 3786.44, 3781.79, 3774.09, 3764.28, 3753.64, 3743.59, 3735.38, 3730.02]"
SHIKI (obj.mp),,4,1221,36fd786d7331e34ae9896e5a954cef2b,http://ibizatrance.nomaki.jp/index.html ,Angelic layer -ANOTHER-,http://shiki2.sakura.ne.jp/,http://ibizatrance.nomaki.jp/index.html,17750,1000,4176,4176,4083.544,42.0901,0.5,"[4175.96, 4174.41, 4169.69, 4161.89, 4151.95, 4141.18, 4131.0, 4122.68, 4117.26]"
Snack obj:Fender,http://0samil0.tumblr.com/pabat2015append/http://absolute.pv.land.to/uploader/src/up5384.rar,15,208717,3725d7e92f0afbfbc9d15675e0d08fb2,http://fenderbms.web.fc2.com/,"Developers, Developers, Developers, Developers! [F]",http://k-bms.com/party_pabat/party2015.jsp?board_num=15&num=16&order=reg&odtype=a,http://fenderbms.web.fc2.com/,3329,999,4800,4784,4305.7037,176.801,0.5,"[4771.61, 4756.47, 4739.55, 4721.94, 4704.75, 4689.04, 4675.76, 4665.68, 4659.4]"
BTB Mov : mzet :-p & OLB / obj:BAECON,差分 右クリックで保存BAECON差分難易度表 http://akred.web.fc2.com/baecon.html,16,205287,373ececc37a2931c34a3dfc0f254055a,http://akred.web.fc2.com/baecon/CreamySkyBRIGHT.bms,Creamy Sky [BRIGHT],http://manbow.nothing.sh/event/event.cgi?action=More_def&num=14&event=96,http://akred.web.fc2.com/baecon/CreamySkyBRIGHT.bms,3600,1000,4000,3992,3704.286,130.5755,0.5841272485357699,"[3985.49, 3975.87, 3964.21, 3951.07, 3937.14, 3923.24, 3910.25, 3899.11, 3890.89]"
